Epoch,Train_Acc,Train_Prec,Train_F1,Test_Acc,Test_Prec,Test_F1
1,0.88075,tensor(0.8075),tensor(0.8935),0.8725,tensor(0.7949),tensor(0.8857)
2,0.981125,tensor(1.),tensor(0.9808),0.9735,tensor(1.),tensor(0.9724)
3,0.943125,tensor(1.),tensor(0.9397),0.928,tensor(1.),tensor(0.9214)
4,0.99175,tensor(1.),tensor(0.9917),0.987,tensor(1.),tensor(0.9867)
5,0.96825,tensor(1.),tensor(0.9672),0.9585,tensor(1.),tensor(0.9562)
6,0.981625,tensor(0.9646),tensor(0.9820),0.985,tensor(0.9705),tensor(0.9850)
7,0.994125,tensor(1.),tensor(0.9941),0.992,tensor(1.),tensor(0.9918)
8,0.978,tensor(0.9579),tensor(0.9785),0.9825,tensor(0.9658),tensor(0.9826)
9,0.963125,tensor(1.),tensor(0.9617),0.9535,tensor(1.),tensor(0.9506)
10,0.93875,tensor(0.8909),tensor(0.9423),0.939,tensor(0.8901),tensor(0.9418)
11,0.95175,tensor(0.9120),tensor(0.9540),0.952,tensor(0.9114),tensor(0.9537)
12,0.993125,tensor(1.),tensor(0.9931),0.9895,tensor(1.),tensor(0.9893)
13,0.993125,tensor(1.),tensor(0.9931),0.9895,tensor(1.),tensor(0.9893)
14,0.990625,tensor(1.),tensor(0.9905),0.987,tensor(1.),tensor(0.9867)
15,0.98575,tensor(0.9723),tensor(0.9860),0.989,tensor(0.9782),tensor(0.9890)
16,0.97875,tensor(1.),tensor(0.9783),0.9715,tensor(1.),tensor(0.9703)
17,0.985375,tensor(1.),tensor(0.9852),0.978,tensor(1.),tensor(0.9772)
18,0.985375,tensor(1.),tensor(0.9852),0.978,tensor(1.),tensor(0.9772)
19,0.94925,tensor(0.9079),tensor(0.9517),0.9495,tensor(0.9073),tensor(0.9514)
20,0.982625,tensor(0.9664),tensor(0.9829),0.986,tensor(0.9724),tensor(0.9860)
