1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
"tensor([0.4209, 0.0739, 0.0953, 0.2711, 0.0633, 0.0755])",,,,,,,,,,,,,,,,,,
"tensor([0.4246, 0.0745, 0.0962, 0.2648, 0.0638, 0.0761])",,,,,,,,,,,,,,,,,,
"tensor([0.4179, 0.0733, 0.0946, 0.2763, 0.0628, 0.0750])",,,,,,,,,,,,,,,,,,
"tensor([0.4308, 0.0756, 0.0976, 0.2539, 0.0648, 0.0773])",,,,,,,,,,,,,,,,,,
"tensor([0.4244, 0.0745, 0.0961, 0.2650, 0.0638, 0.0762])",,,,,,,,,,,,,,,,,,
"tensor([0.4216, 0.0740, 0.0955, 0.2700, 0.0634, 0.0756])",,,,,,,,,,,,,,,,,,
"tensor([0.4251, 0.0746, 0.0963, 0.2639, 0.0639, 0.0763])",,,,,,,,,,,,,,,,,,
"tensor([0.4308, 0.0756, 0.0976, 0.2541, 0.0648, 0.0773])",,,,,,,,,,,,,,,,,,
"tensor([0.4254, 0.0746, 0.0963, 0.2634, 0.0640, 0.0763])",,,,,,,,,,,,,,,,,,
"tensor([0.4203, 0.0737, 0.0952, 0.2723, 0.0632, 0.0754])",,,,,,,,,,,,,,,,,,
"tensor([0.4386, 0.0770, 0.0993, 0.2404, 0.0660, 0.0787])",,,,,,,,,,,,,,,,,,
"tensor([0.4335, 0.0761, 0.0982, 0.2492, 0.0652, 0.0778])",,,,,,,,,,,,,,,,,,
"tensor([0.4253, 0.0746, 0.0963, 0.2636, 0.0639, 0.0763])",,,,,,,,,,,,,,,,,,
"tensor([0.4275, 0.0750, 0.0968, 0.2597, 0.0643, 0.0767])",,,,,,,,,,,,,,,,,,
"tensor([0.4294, 0.0753, 0.0972, 0.2565, 0.0646, 0.0770])",,,,,,,,,,,,,,,,,,
"tensor([0.4320, 0.0758, 0.0978, 0.2520, 0.0649, 0.0775])",,,,,,,,,,,,,,,,,,
"tensor([0.4289, 0.0753, 0.0971, 0.2573, 0.0645, 0.0770])",,,,,,,,,,,,,,,,,,
"tensor([0.4357, 0.0765, 0.0987, 0.2455, 0.0655, 0.0782])",,,,,,,,,,,,,,,,,,
"tensor([0.4350, 0.0763, 0.0985, 0.2467, 0.0654, 0.0781])",,,,,,,,,,,,,,,,,,
"tensor([0.4255, 0.0747, 0.0964, 0.2632, 0.0640, 0.0763])",,,,,,,,,,,,,,,,,,
"tensor([0.4184, 0.0734, 0.0947, 0.2755, 0.0629, 0.0751])",,,,,,,,,,,,,,,,,,
"tensor([0.4408, 0.0773, 0.0998, 0.2367, 0.0663, 0.0791])",,,,,,,,,,,,,,,,,,
"tensor([0.4322, 0.0758, 0.0979, 0.2516, 0.0650, 0.0775])",,,,,,,,,,,,,,,,,,
"tensor([0.4293, 0.0753, 0.0972, 0.2565, 0.0646, 0.0770])",,,,,,,,,,,,,,,,,,
"tensor([0.4289, 0.0753, 0.0971, 0.2573, 0.0645, 0.0770])",,,,,,,,,,,,,,,,,,
"tensor([0.4301, 0.0755, 0.0974, 0.2552, 0.0647, 0.0772])",,,,,,,,,,,,,,,,,,
"tensor([0.4287, 0.0752, 0.0971, 0.2577, 0.0645, 0.0769])",,,,,,,,,,,,,,,,,,
"tensor([0.4240, 0.0744, 0.0960, 0.2658, 0.0638, 0.0760])",,,,,,,,,,,,,,,,,,
"tensor([0.4303, 0.0755, 0.0974, 0.2549, 0.0647, 0.0772])",,,,,,,,,,,,,,,,,,
"tensor([0.4364, 0.0766, 0.0988, 0.2443, 0.0656, 0.0783])",,,,,,,,,,,,,,,,,,
"tensor([0.4401, 0.0772, 0.0997, 0.2379, 0.0662, 0.0789])",,,,,,,,,,,,,,,,,,
"tensor([0.4223, 0.0741, 0.0956, 0.2686, 0.0635, 0.0758])",,,,,,,,,,,,,,,,,,
"tensor([0.4201, 0.0737, 0.0951, 0.2724, 0.0632, 0.0754])",,,,,,,,,,,,,,,,,,
"tensor([0.4299, 0.0754, 0.0973, 0.2557, 0.0646, 0.0771])",,,,,,,,,,,,,,,,,,
"tensor([0.4214, 0.0739, 0.0954, 0.2702, 0.0634, 0.0756])",,,,,,,,,,,,,,,,,,
"tensor([0.4261, 0.0748, 0.0965, 0.2621, 0.0641, 0.0765])",,,,,,,,,,,,,,,,,,
"tensor([0.4223, 0.0741, 0.0956, 0.2687, 0.0635, 0.0757])",,,,,,,,,,,,,,,,,,
"tensor([0.4287, 0.0752, 0.0971, 0.2575, 0.0645, 0.0770])",,,,,,,,,,,,,,,,,,
"tensor([0.4320, 0.0758, 0.0978, 0.2519, 0.0650, 0.0775])",,,,,,,,,,,,,,,,,,
"tensor([0.4285, 0.0752, 0.0970, 0.2580, 0.0644, 0.0769])",,,,,,,,,,,,,,,,,,
"tensor([0.4390, 0.0770, 0.0994, 0.2397, 0.0660, 0.0788])",,,,,,,,,,,,,,,,,,
"tensor([0.4312, 0.0757, 0.0977, 0.2533, 0.0648, 0.0774])",,,,,,,,,,,,,,,,,,
"tensor([0.4240, 0.0744, 0.0960, 0.2658, 0.0638, 0.0761])",,,,,,,,,,,,,,,,,,
"tensor([0.4217, 0.0740, 0.0955, 0.2698, 0.0634, 0.0757])",,,,,,,,,,,,,,,,,,
"tensor([0.4273, 0.0750, 0.0968, 0.2601, 0.0643, 0.0766])",,,,,,,,,,,,,,,,,,
"tensor([0.4318, 0.0758, 0.0978, 0.2523, 0.0649, 0.0774])",,,,,,,,,,,,,,,,,,
"tensor([0.4303, 0.0755, 0.0974, 0.2549, 0.0647, 0.0771])",,,,,,,,,,,,,,,,,,
"tensor([0.4271, 0.0749, 0.0967, 0.2604, 0.0642, 0.0766])",,,,,,,,,,,,,,,,,,
"tensor([0.4296, 0.0754, 0.0973, 0.2561, 0.0646, 0.0771])",,,,,,,,,,,,,,,,,,
"tensor([0.4430, 0.0777, 0.1003, 0.2329, 0.0666, 0.0795])",,,,,,,,,,,,,,,,,,
"tensor([0.4338, 0.0761, 0.0983, 0.2487, 0.0652, 0.0778])",,,,,,,,,,,,,,,,,,
"tensor([0.4375, 0.0768, 0.0991, 0.2424, 0.0658, 0.0785])",,,,,,,,,,,,,,,,,,
"tensor([0.4235, 0.0743, 0.0959, 0.2666, 0.0637, 0.0760])",,,,,,,,,,,,,,,,,,
"tensor([0.4315, 0.0757, 0.0977, 0.2527, 0.0649, 0.0774])",,,,,,,,,,,,,,,,,,
"tensor([0.4381, 0.0769, 0.0992, 0.2413, 0.0659, 0.0786])",,,,,,,,,,,,,,,,,,
"tensor([0.4255, 0.0747, 0.0964, 0.2631, 0.0640, 0.0763])",,,,,,,,,,,,,,,,,,
"tensor([0.4337, 0.0761, 0.0982, 0.2489, 0.0652, 0.0778])",,,,,,,,,,,,,,,,,,
"tensor([0.4333, 0.0760, 0.0981, 0.2496, 0.0652, 0.0777])",,,,,,,,,,,,,,,,,,
"tensor([0.4245, 0.0745, 0.0961, 0.2649, 0.0638, 0.0761])",,,,,,,,,,,,,,,,,,
"tensor([0.4373, 0.0767, 0.0990, 0.2427, 0.0658, 0.0785])",,,,,,,,,,,,,,,,,,
"tensor([0.4320, 0.0758, 0.0978, 0.2519, 0.0650, 0.0775])",,,,,,,,,,,,,,,,,,
"tensor([0.4209, 0.0739, 0.0953, 0.2712, 0.0633, 0.0755])",,,,,,,,,,,,,,,,,,
"tensor([0.4337, 0.0761, 0.0982, 0.2489, 0.0652, 0.0778])",,,,,,,,,,,,,,,,,,
"tensor([0.4312, 0.0757, 0.0977, 0.2532, 0.0649, 0.0774])",,,,,,,,,,,,,,,,,,
"tensor([0.4271, 0.0749, 0.0967, 0.2605, 0.0642, 0.0766])",,,,,,,,,,,,,,,,,,
"tensor([0.4281, 0.0751, 0.0969, 0.2587, 0.0644, 0.0768])",,,,,,,,,,,,,,,,,,
"tensor([0.4366, 0.0766, 0.0989, 0.2439, 0.0657, 0.0784])",,,,,,,,,,,,,,,,,,
"tensor([0.4234, 0.0743, 0.0959, 0.2668, 0.0637, 0.0760])",,,,,,,,,,,,,,,,,,
"tensor([0.4256, 0.0747, 0.0964, 0.2631, 0.0640, 0.0763])",,,,,,,,,,,,,,,,,,
"tensor([0.4309, 0.0756, 0.0976, 0.2538, 0.0648, 0.0773])",,,,,,,,,,,,,,,,,,
"tensor([0.4265, 0.0748, 0.0966, 0.2614, 0.0641, 0.0765])",,,,,,,,,,,,,,,,,,
"tensor([0.4341, 0.0762, 0.0983, 0.2483, 0.0653, 0.0779])",,,,,,,,,,,,,,,,,,
"tensor([0.4292, 0.0753, 0.0972, 0.2568, 0.0645, 0.0770])",,,,,,,,,,,,,,,,,,
"tensor([0.4252, 0.0746, 0.0963, 0.2637, 0.0639, 0.0763])",,,,,,,,,,,,,,,,,,
"tensor([0.4292, 0.0753, 0.0972, 0.2568, 0.0645, 0.0770])",,,,,,,,,,,,,,,,,,
"tensor([0.4267, 0.0749, 0.0966, 0.2611, 0.0642, 0.0765])",,,,,,,,,,,,,,,,,,
"tensor([0.4327, 0.0759, 0.0980, 0.2507, 0.0651, 0.0777])",,,,,,,,,,,,,,,,,,
"tensor([0.4362, 0.0765, 0.0988, 0.2446, 0.0656, 0.0782])",,,,,,,,,,,,,,,,,,
"tensor([0.4310, 0.0756, 0.0976, 0.2536, 0.0648, 0.0773])",,,,,,,,,,,,,,,,,,
"tensor([0.4327, 0.0759, 0.0980, 0.2507, 0.0651, 0.0777])",,,,,,,,,,,,,,,,,,
"tensor([0.4265, 0.0748, 0.0966, 0.2613, 0.0641, 0.0765])",,,,,,,,,,,,,,,,,,
"tensor([0.4328, 0.0759, 0.0980, 0.2506, 0.0651, 0.0776])",,,,,,,,,,,,,,,,,,
"tensor([0.4354, 0.0764, 0.0986, 0.2460, 0.0655, 0.0781])",,,,,,,,,,,,,,,,,,
"tensor([0.4280, 0.0751, 0.0969, 0.2588, 0.0644, 0.0768])",,,,,,,,,,,,,,,,,,
"tensor([0.4343, 0.0762, 0.0984, 0.2479, 0.0653, 0.0780])",,,,,,,,,,,,,,,,,,
"tensor([0.4317, 0.0758, 0.0978, 0.2524, 0.0649, 0.0774])",,,,,,,,,,,,,,,,,,
"tensor([0.4297, 0.0754, 0.0973, 0.2558, 0.0646, 0.0771])",,,,,,,,,,,,,,,,,,
"tensor([0.4202, 0.0737, 0.0951, 0.2724, 0.0632, 0.0754])",,,,,,,,,,,,,,,,,,
"tensor([0.4246, 0.0745, 0.0962, 0.2646, 0.0639, 0.0762])",,,,,,,,,,,,,,,,,,
"tensor([0.4286, 0.0752, 0.0971, 0.2577, 0.0645, 0.0769])",,,,,,,,,,,,,,,,,,
