Epoch,Train_Acc,Train_Prec,Train_F1,Test_Acc,Test_Prec,Test_F1
1,0.5105,0.5105000138282776,0.6759351491928101,0.523,0.5230000019073486,0.6868023872375488
2,0.50975,1.0,0.07630711048841476,0.5,1.0,0.0842490866780281
3,0.824625,0.7879699468612671,0.8394553065299988,0.8405,0.810418426990509,0.8561118841171265
4,0.872625,0.9154242277145386,0.8689051866531372,0.8735,0.9108808040618896,0.87419193983078
5,0.87025,0.8970281481742859,0.8689393997192383,0.8785,0.90190190076828,0.8811736106872559
6,0.851375,0.8343728184700012,0.8586711287498474,0.8605,0.8458070158958435,0.8705336451530457
7,0.869875,0.9160513877868652,0.865521252155304,0.8745,0.9144942760467529,0.8748129606246948
8,0.864375,0.8494523167610168,0.8704477548599243,0.862,0.84375,0.8725761771202087
9,0.87275,0.9170293807983398,0.8688144087791443,0.873,0.9116424322128296,0.8735059499740601
10,0.84475,0.829698383808136,0.8520371913909912,0.855,0.8436363339424133,0.8648648858070374
